GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gui,app,RegistrationGui,197,118,4,8,40,31,8,5,4,3
gui,app,OhjelmistoGUI.new TableCell() {...},102,0,2,0,21,0,5,0,4,0
gui,app,VarausHaku,3,0,0,0,1,0,1,0,1,0
gui,app,KayttajaHaku,54,0,2,0,13,0,3,0,2,0
gui,app,OhjelmistoGUI.new Task() {...},21,0,0,0,2,0,2,0,2,0
gui,app,OhjelmistoGUI.new Task() {...},16,0,0,0,2,0,2,0,2,0
gui,app,OhjelmistoGUI.new Task() {...},15,0,0,0,3,0,2,0,2,0
gui,app,OhjelmistoGUI.new Task() {...},11,0,0,0,2,0,2,0,2,0
gui,app,OhjelmistoGUI.new Task() {...},16,0,0,0,2,0,2,0,2,0
gui,app,AsiakasHaku,293,0,11,0,80,0,11,0,3,0
gui,app,HotelliHaku,158,0,7,0,45,0,7,0,2,0
gui,app,WilmaMain,10,0,0,0,4,0,2,0,2,0
gui,app,LoginGui,89,124,6,0,24,24,7,2,4,2
gui,app,LaskuData,97,0,0,0,34,0,17,0,17,0
gui,app,AdminGUI,946,0,34,0,186,0,37,0,20,0
gui,app,AnnaMain,4,0,0,0,2,0,2,0,2,0
gui,app,LaskuHaku,235,0,12,0,68,0,12,0,3,0
gui,app,UserSession,13,0,0,0,7,0,5,0,5,0
gui,app,CurrencyConverter,71,0,2,0,20,0,3,0,2,0
gui,app,OhjelmistoGUI,4269,0,88,0,790,0,127,0,83,0
gui,controller,HuoneController,67,47,6,0,19,12,7,6,4,6
gui,controller,LoginController,211,0,10,0,52,0,16,0,11,0
gui,controller,AsiakasController,52,8,0,0,11,3,7,1,7,1
gui,controller,HomeController,33,0,0,0,8,0,3,0,3,0
gui,controller,HotelliController,33,0,0,0,9,0,4,0,4,0
gui,controller,LaskuController,13,45,0,0,4,11,1,7,1,7
gui,controller,VarausController,156,18,12,0,36,5,17,1,11,1
gui,controller,KayttajaController,38,0,0,0,9,0,4,0,4,0
gui,model.enteties,Varaus,45,3,0,0,18,2,9,1,9,1
gui,model.enteties,Kayttaja,49,27,0,0,18,14,9,7,9,7
gui,model.enteties,Hotelli,39,3,0,0,14,2,7,1,7,1
gui,model.enteties,Asiakas,70,3,0,0,29,2,15,1,15,1
gui,model.enteties,Huone,55,3,0,0,22,2,11,1,11,1
gui,model.enteties,Lasku,31,21,0,0,13,9,9,2,9,2
gui,utils,PasswordUtils,12,0,0,0,3,0,3,0,3,0
gui,model.service,Kirjautuminen,3,0,0,0,1,0,1,0,1,0
gui,model.DAO,HuoneDAO,119,116,22,10,40,43,20,6,4,6
gui,model.DAO,KayttajaDAO,375,3,32,0,125,1,26,1,10,1
gui,model.DAO,HotelliDAO,52,3,6,0,18,1,6,1,3,1
gui,model.DAO,VarausDAO,168,3,18,0,56,1,17,1,8,1
gui,model.DAO,AsiakasDAO,284,3,34,0,102,1,26,1,9,1
gui,model.DAO,LaskuDAO,57,122,14,10,19,44,13,7,1,7
gui,model.datasourse,MariaDbConnection,3,7,0,0,1,2,1,2,1,2
